fpr,tpr,thresholds
0.0,0.0,2.0
0.008695652173913044,0.9543859649122807,1.0
0.008695652173913044,0.9957894736842106,0.9999941463527008
0.010434782608695653,0.9957894736842106,0.9999853296049832
0.010434782608695653,0.9978947368421053,0.9999504007361651
0.017391304347826087,0.9978947368421053,0.9995384817774247
0.017391304347826087,0.9985964912280701,0.9993924077314815
0.020869565217391306,0.9985964912280701,0.9992306731374359
0.020869565217391306,0.9992982456140351,0.999196679941471
0.059130434782608696,0.9992982456140351,0.8917424543505135
0.059130434782608696,1.0,0.8507552449873396
1.0,1.0,2.0994343931814786e-10
